metric,low_var,high_var,interpretation,low_t1,high_t1,diff_t1,low_t4,high_t4,diff_t4,low_t8,high_t8,diff_t8,low_t12,high_t12,diff_t12
Local bond rate,rb1,rb2,higher is costlier,2.82857988158636e-05,2.82857988158636e-05,0,-0.00076107092347355,-0.00076107092347355,0,-0.000376257923402346,-0.000376257923402346,0,0.000199076140829924,0.000199076140829924,0
Debt service pressure,ds1,ds2,higher is more pressure,0.00170709750273279,0.00433362834848136,0.00262653084574858,0.000340084194285303,0.000936523692064385,0.000596439497779082,-0.000348088081849425,-0.000645166601657759,-0.000297078519808334,-0.000173962633077827,-0.000217314961582248,-4.33523285044207e-05
Fiscal space,fs1,fs2,lower is tighter,-0.00227942703104478,-0.00492924472669119,-0.00264981769564641,-0.000910392317075959,-0.00155217312995587,-0.000641780812879911,0.000191490189018942,0.000433090819459414,0.000241600630440472,0.000202564676923658,0.00016004961559013,-4.25150613335284e-05
Public investment,ig1,ig2,lower is weaker,-0.00124195861972774,-0.00152259456826828,-0.000280635948540539,-0.00373943350581489,-0.00420992069236796,-0.00047048718655307,-0.00122840576278385,-0.00175189485118533,-0.000523489088401483,0.00102223127552059,0.000258378374047158,-0.000763852901473433
Public capital,kg1,kg2,lower is weaker,-0.00124195861972787,-0.00152259456826842,-0.000280635948540553,-0.0106646483988033,-0.0122636842123596,-0.00159903581355625,-0.0189172964978592,-0.022200983571639,-0.0032836870737798,-0.0155907034828942,-0.0211904598118551,-0.00559975632896093
Intermediate output,ym1,ym2,lower is weaker,-0.00373567675427122,-0.00390750431395948,-0.000171827559688253,-0.00377070290180548,-0.00399316080878565,-0.000222457906980167,-0.00110920896801392,-0.00130967500799095,-0.000200466039977032,5.65755257211364e-05,-0.000255207821739045,-0.000311783347460182
Final output,y1,y2,lower is weaker,-0.00366972948852895,-0.00397345157970175,-0.000303722091172798,-0.00365676840390339,-0.00410709530668785,-0.000450326902784459,-0.00100409270662172,-0.00141479126938326,-0.000410698562761547,0.000183393933984366,-0.000382026230002164,-0.00056542016398653
Private investment,inv1,inv2,lower is weaker,-0.000551529316732802,-0.000570144113524074,-1.8614796791272e-05,0.000265867411767928,0.000269402704535793,3.53529276786446e-06,0.000413965857678222,0.000503747128365428,8.97812706872059e-05,-0.00048358210116789,-0.000298377048079723,0.000185205053088167
Labor demand,n1,n2,lower is weaker,-0.000791567544040431,-0.000827976775450864,-3.64092314104336e-05,-0.000742276972152456,-0.000781316914851282,-3.90399426988264e-05,-0.000123434480079163,-0.000147939129166372,-2.45046490872092e-05,0.000115201151869956,7.6861272851711e-05,-3.83398790182454e-05
Real wage,w1,w2,lower is weaker,-0.0410484943458616,-0.0417288172583112,-0.000680322912449682,-0.0152283192593705,-0.0156416572950637,-0.000413338035693211,-0.00488188319260763,-0.00495574037970181,-7.3857187094184e-05,-0.00329963564621893,-0.00375130433214554,-0.000451668685926609
Consumption,c1,c2,lower is weaker,-0.00187624155206845,-0.00188071289790936,-4.47134584091735e-06,-0.000183202309856467,-0.00016657731885561,1.66249910008576e-05,-0.00018965280151606,-0.000166643546563261,2.30092549527994e-05,-0.000355255240368391,-0.000342027555969682,1.32276843987089e-05
Inflation,pinf1,pinf2,lower is weaker,-0.00418836902437836,-0.00425055754919956,-6.21885248212051e-05,-0.00140774700088619,-0.00141658401710831,-8.83701622211852e-06,-3.40739220938691e-06,-2.35909065438022e-06,1.04830155500668e-06,0.000187185171567794,0.000191996999280963,4.81182771316924e-06
