scenario,label,debt_ratio,metric,low_var,high_var,diff_t1,diff_t4,diff_t8,diff_t12
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,ds1,ds2,-1.73472347597681e-17,-2.68882138776405e-17,1.0842021724855e-17,-3.55618312575245e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,ig1,ig2,5.55111512312578e-17,-1.52655665885959e-16,-4.57966997657877e-16,-6.80011602582908e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,kg1,kg2,0,0,-8.88178419700125e-16,-3.5527136788005e-15
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,y1,y2,2.22044604925031e-16,-1.11022302462516e-16,-3.33066907387547e-16,-6.66133814775094e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,c1,c2,1.11022302462516e-16,0,1.11022302462516e-16,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,pinf1,pinf2,0,1.11022302462516e-16,0,0
debt_intensity_b080,B2/Y2 = 80%,0.8,Debt service pressure,ds1,ds2,0.00654929126036052,0.000960793140277021,-0.000646144678227541,-0.000111846575252996
debt_intensity_b080,B2/Y2 = 80%,0.8,Public investment,ig1,ig2,-0.00105789246417044,-0.00138548794475497,-0.00107167073117022,-0.00168299424291113
debt_intensity_b080,B2/Y2 = 80%,0.8,Public capital,kg1,kg2,-0.00105789246417043,-0.00527184315395823,-0.00896021801252012,-0.0136702259348778
debt_intensity_b080,B2/Y2 = 80%,0.8,Final output,y1,y2,-0.00121047577135214,-0.00137379780311009,-0.00096249875417298,-0.00145144144595877
debt_intensity_b080,B2/Y2 = 80%,0.8,Consumption,c1,c2,-0.00010047333556451,7.49406211016934e-05,0.000113748699833049,6.06960153908265e-05
debt_intensity_b080,B2/Y2 = 80%,0.8,Inflation,pinf1,pinf2,-0.00021030714078385,5.80104225211819e-06,1.05749989627313e-05,-8.81030951216388e-06
debt_intensity_b120,B2/Y2 = 120%,1.2,Debt service pressure,ds1,ds2,0.0132460193319729,0.00183559026893226,-0.00133699907655176,-0.000149539754735883
debt_intensity_b120,B2/Y2 = 120%,1.2,Public investment,ig1,ig2,-0.00213259184647153,-0.00266762877191451,-0.00144819112686664,-0.00221234521092377
debt_intensity_b120,B2/Y2 = 120%,1.2,Public capital,kg1,kg2,-0.00213259184647141,-0.0104463214319965,-0.0160680723633146,-0.021729444646915
debt_intensity_b120,B2/Y2 = 120%,1.2,Final output,y1,y2,-0.00239729393219978,-0.00259416243396304,-0.00134959252117328,-0.00207591746534741
debt_intensity_b120,B2/Y2 = 120%,1.2,Consumption,c1,c2,-0.000209291410779522,0.00011363456193203,0.00017191888295387,6.55483755176434e-05
debt_intensity_b120,B2/Y2 = 120%,1.2,Inflation,pinf1,pinf2,-0.000406123510257594,3.50037429428518e-05,4.87098590349344e-05,-1.95739156070296e-05
debt_intensity_b160,B2/Y2 = 160%,1.6,Debt service pressure,ds1,ds2,0.0201158413880596,0.00260844676222377,-0.00208553927945009,-0.000138858786082136
debt_intensity_b160,B2/Y2 = 160%,1.6,Public investment,ig1,ig2,-0.00323120572119265,-0.00391503580021736,-0.00160427435523207,-0.0024186443744238
debt_intensity_b160,B2/Y2 = 160%,1.6,Public capital,kg1,kg2,-0.00323120572119251,-0.0156379921243439,-0.0225930772902219,-0.0281343341434894
debt_intensity_b160,B2/Y2 = 160%,1.6,Final output,y1,y2,-0.00359047104428833,-0.00373897692985559,-0.00151125881345771,-0.00242320330719314
debt_intensity_b160,B2/Y2 = 160%,1.6,Consumption,c1,c2,-0.000324270351363509,0.000139503806701913,0.000211381669039667,5.07147514252626e-05
debt_intensity_b160,B2/Y2 = 160%,1.6,Inflation,pinf1,pinf2,-0.000597372216955772,7.51783152265206e-05,9.35942260982259e-05,-3.17986887230504e-05
