scenario,label,debt_ratio,metric,variable,t1,t4,t8,t12
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,ds2,0.00638296534763897,0.000836178349210293,-0.00113499428720045,-0.00064475504133162
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,ig2,-0.00537611839011025,-0.0133359157991399,-0.00428978368107813,0.00301016895600852
debt_intensity_b040,B2/Y2 = 40%,0.4,Public capital,kg2,-0.00537611839011021,-0.0403245453074716,-0.0684241050864398,-0.0581605821833047
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,y2,-0.0213374656272239,-0.0117804054289701,-0.0014421196726544,0.00107121065595028
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,c2,-0.0150464085437759,-0.00105011381204767,1.89026946568749e-05,-0.00129670469377119
debt_intensity_b040,B2/Y2 = 40%,0.4,Inflation,pinf2,-0.0155844645791342,-0.00288397445856414,0.00120762005920549,0.000525292869414162
debt_intensity_b080,B2/Y2 = 80%,0.8,Debt service pressure,ds2,0.0129188557340565,0.00176774955291142,-0.00178053961979284,-0.000746249848391136
debt_intensity_b080,B2/Y2 = 80%,0.8,Public investment,ig2,-0.00641411328236273,-0.0146284019562734,-0.00522069781354262,0.00137604763821024
debt_intensity_b080,B2/Y2 = 80%,0.8,Public capital,kg2,-0.00641411328236252,-0.0453871655999181,-0.0766613414559583,-0.0708566022060539
debt_intensity_b080,B2/Y2 = 80%,0.8,Final output,y2,-0.0222102077735816,-0.0127707464546526,-0.00198797827936881,5.57662483340327e-05
debt_intensity_b080,B2/Y2 = 80%,0.8,Consumption,c2,-0.0148962666320697,-0.000838432183059235,0.000239532593250269,-0.00109712982356414
debt_intensity_b080,B2/Y2 = 80%,0.8,Inflation,pinf2,-0.0157649818931591,-0.0028413542736222,0.00121057935400493,0.000463994344188201
debt_intensity_b120,B2/Y2 = 120%,1.2,Debt service pressure,ds2,0.0196083644830626,0.00260949443541745,-0.00247622395848138,-0.00076792674413487
debt_intensity_b120,B2/Y2 = 120%,1.2,Public investment,ig2,-0.00747471348539798,-0.0158270424102292,-0.00545002355079567,0.000879786839199731
debt_intensity_b120,B2/Y2 = 120%,1.2,Public capital,kg2,-0.00747471348539808,-0.0503878044644916,-0.0830734814469172,-0.0779798281455713
debt_intensity_b120,B2/Y2 = 120%,1.2,Final output,y2,-0.0231000938652086,-0.0137025941324035,-0.00216037132260516,-0.000410671821560293
debt_intensity_b120,B2/Y2 = 120%,1.2,Consumption,c2,-0.0147801258558101,-0.000694019367286414,0.000342519883269943,-0.00102206335645727
debt_intensity_b120,B2/Y2 = 120%,1.2,Inflation,pinf2,-0.0159458997598745,-0.00276435191341662,0.00127905693700159,0.000438665168684294
debt_intensity_b160,B2/Y2 = 160%,1.6,Debt service pressure,ds2,0.0264799625632586,0.00334692605823949,-0.00323112917750219,-0.000739395049200339
debt_intensity_b160,B2/Y2 = 160%,1.6,Public investment,ig2,-0.00856697689939519,-0.0170035218393225,-0.00545813586176316,0.000700254636745529
debt_intensity_b160,B2/Y2 = 160%,1.6,Public capital,kg2,-0.00856697689939523,-0.0554519845313997,-0.0889572527746889,-0.0835069623480456
debt_intensity_b160,B2/Y2 = 160%,1.6,Final output,y2,-0.0240322708249044,-0.0146000858748664,-0.00217240035116228,-0.000688628508097366
debt_intensity_b160,B2/Y2 = 160%,1.6,Consumption,c2,-0.0146969659064141,-0.000579809781831475,0.000401120860362814,-0.000993485973629582
debt_intensity_b160,B2/Y2 = 160%,1.6,Inflation,pinf2,-0.0161441541277673,-0.00267445563832869,0.00136258468198536,0.000418536290460514
