scenario,label,debt_ratio,metric,horizon,low_irf,high_irf,diff_irf
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,1,0.00175591964246472,0.00175591964246471,-9.54097911787244e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,2,0.00129947033584039,0.00129947033584034,-4.59701721133854e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,3,0.000796108701330962,0.000796108701330948,-1.38777878078145e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,4,0.000351285477283792,0.000351285477283785,-6.93889390390723e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,5,1.34514611438907e-05,1.34514611438898e-05,-8.67361737988404e-19
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,6,-0.000207223046892528,-0.000207223046892525,3.03576608295941e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,7,-0.000323591591816824,-0.000323591591816817,6.93889390390723e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,8,-0.000359635250913381,-0.000359635250913371,9.54097911787244e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,9,-0.000341985209088174,-0.000341985209088163,1.12757025938492e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,10,-0.000294620919902161,-0.000294620919902149,1.21430643318376e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,11,-0.000236204865749105,-0.000236204865749094,1.17093834628434e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,12,-0.000179362824253903,-0.000179362824253892,1.12757025938492e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,13,-0.000131212646326409,-0.000131212646326399,9.54097911787244e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,14,-9.45408665452259e-05,-9.45408665452181e-05,7.80625564189563e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,15,-6.91738939174059e-05,-6.91738939173998e-05,6.07153216591882e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,16,-5.32472483127525e-05,-5.3247248312749e-05,3.46944695195361e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,17,-4.42147444071738e-05,-4.42147444071712e-05,2.60208521396521e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,18,-3.95457369012295e-05,-3.95457369012295e-05,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,19,-3.71291659892314e-05,-3.71291659892322e-05,-8.67361737988404e-19
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,20,-3.54417240529684e-05,-3.5441724052971e-05,-2.60208521396521e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,21,-3.35511115663522e-05,-3.35511115663548e-05,-2.60208521396521e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,22,-3.10221702783378e-05,-3.10221702783412e-05,-3.46944695195361e-18
