indicator,phi_1_1,phi_1_5,phi_2_0,phi_2_5,phi_3_0
"National inflation volatility V_pi",0.524952254105081,0.494840768514421,0.440069621870605,0.393743176135687,0.356168804579453
"National output volatility V_Y",1.20588128506222,1.13377785507964,1.01474566614072,0.916104202973425,0.836861748428471
"Regional output desynchronization D_Y",0.138968581904378,0.147300601536837,0.163324853809702,0.179136329342719,0.193255866103668
"Regional inflation desynchronization D_pi",0.0088259457015436,0.00855924392410524,0.00811516177439951,0.00791270710597121,0.00788159078344979
"Debt-service pressure desynchronization D_DS",0.349293163171491,0.33817244718383,0.313749991782006,0.294915564747665,0.281405767342326
"National welfare CEV, percent",0.000396565009552763,0,-0.00139915923274558,-0.00265778874109501,-0.00371247729356594
"Low-debt welfare CEV, percent",0.000130896499539457,0,-0.00094832817135182,-0.00182783328057101,-0.00257357039799566
"High-debt welfare CEV, percent",0.000662234225334846,0,-0.00184998826165406,-0.00348773731321805,-0.00485137121772339
"Ricardian welfare CEV, percent",0.00312747683207659,0,-0.0077350517274033,-0.0144799243547766,-0.0200333158700328
"Hand-to-mouth welfare CEV, percent",-0.00597527256034902,0,0.0133861512236266,0.0249326306538067,0.0343798410365914
