scenario,label,metric,diff_t1,diff_t4,diff_t8,diff_t12
scenario_01_baseline,Baseline,Local bond rate,0,-2.22044604925031e-16,0,0
scenario_01_baseline,Baseline,Debt service pressure,0.00977441966857481,0.00148745097716237,-0.00111984081744136,-0.000120794745105123
scenario_01_baseline,Baseline,Fiscal space,-0.00997572431154215,-0.00183354392430894,0.00088478023908159,-0.000259299514995093
scenario_01_baseline,Baseline,Public investment,-0.00157821217259538,-0.00220598477035225,-0.00136976446085643,-0.0021576993801178
scenario_01_baseline,Baseline,Public capital,-0.00157821217259535,-0.00838994641387014,-0.0134387241696423,-0.01919975610629
scenario_01_baseline,Baseline,Final output,-0.00177176555906466,-0.00216786627568166,-0.00125384920713523,-0.0019454073946934
scenario_01_baseline,Baseline,Private investment,-6.18969336662611e-05,-6.12353521188824e-05,-4.2241072856497e-05,0.00014144954636211
scenario_01_baseline,Baseline,Labor demand,-0.000417960612386803,-0.000329275605158719,-7.33191227450525e-05,-0.00022031548760082
scenario_01_baseline,Baseline,Inflation,-0.000323338702176379,2.04786462523199e-05,3.05799418776065e-05,-1.63065486231684e-05
scenario_02_risk_premium,Local debt risk premium,Local bond rate,-1.02348661861207e-05,0.000672144417373621,0.0017340362418452,0.00151923942027099
scenario_02_risk_premium,Local debt risk premium,Debt service pressure,0.00238901076676274,0.00138433047405057,0.00134350077215756,0.00164660610256377
scenario_02_risk_premium,Local debt risk premium,Fiscal space,-0.002433760750341,-0.00155905946226423,-0.00171843239458121,-0.00232473872652338
scenario_02_risk_premium,Local debt risk premium,Public investment,-0.000397471597691976,-0.0010797342024217,-0.00284613440499204,-0.00540541670691096
scenario_02_risk_premium,Local debt risk premium,Public capital,-0.00039747159769199,-0.00308623299225097,-0.010542116381659,-0.027141304833886
scenario_02_risk_premium,Local debt risk premium,Final output,-0.000513589204001352,-0.00100733068487802,-0.0019063093236813,-0.00348332311995048
scenario_02_risk_premium,Local debt risk premium,Private investment,-0.000113870246790715,-5.87578731014171e-05,0.00068870695886572,0.00169146400484688
scenario_02_risk_premium,Local debt risk premium,Labor demand,-0.000102528341047292,-0.000111612659870863,-0.000194265400611682,-0.00046411458739315
scenario_02_risk_premium,Local debt risk premium,Inflation,-0.000129895296046789,-5.37059413956431e-05,-0.000103432877414544,-3.56905654763651e-05
scenario_03_transfer_buffer,Central transfer buffer,Local bond rate,0,0,0,0
scenario_03_transfer_buffer,Central transfer buffer,Debt service pressure,0.00821044546713968,0.00164947327917478,-4.62269569468316e-05,-0.000102100800024946
