scenario,label,psi_L,ucrit,nu,horizon,u1,u2,u1_dev,u2_dev,pressure1,pressure2,debt_ratio1,debt_ratio2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,u_gap,pressure_gap,debt_ratio_gap,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,1,0.498914981182404,0.858436144671774,-0.00108501881759643,0.00843614467177378,-4.85955041451893e-08,0.00203869297433627,0.0119745978213264,0.0421164357693841,0.00730571237693996,0.0183256318124789,-0.0135972954522639,-0.0244387764799229,-0.014465310506341,-0.0145139003954832,-0.014465310506341,-0.0145139003954831,-0.0321065321885088,-0.0321915596849444,-0.0170191076150267,-0.0169813641303125,-0.0177605728110413,-0.0178204598975047,0.00952116348937021,0.00203874156984042,0.0301418379480577,0.011019919435539,-0.010841481027659,-4.85898891421921e-05,-4.85898891420256e-05,-8.50274964355746e-05,3.77434847141922e-05,-5.98870864634282e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,2,0.488129279053901,0.855999216303305,-0.0118707209460989,0.00599921630330547,-4.66299842437971e-07,0.00141605403191106,0.00141991845861917,0.0346097238050815,0.00392941318241188,0.0100155638148359,-0.00927739316172153,-0.0152476270341236,-0.0179059548645237,-0.0181146015852629,-0.0320096326082062,-0.0322656544708586,-0.0272912380387457,-0.027551822271781,-0.00951399552706877,-0.00945343574434176,-0.00996415353494184,-0.0100307091056335,0.0178699372494043,0.0014165203317535,0.0331898053464624,0.00608615063242405,-0.00597023387240206,-0.000208646720739218,-0.000256021862652389,-0.000260584233035321,6.05597827270099e-05,-6.65555706916843e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,3,0.475402183607323,0.848843900160505,-0.0245978163926773,-0.00115609983949527,-8.34112073803382e-07,-0.000254586978031704,-0.0124010128381822,0.0173543318059111,0.00123737457082268,0.00348259337509866,-0.00480248723126744,-0.00703644838687484,-0.0149841635885303,-0.0154544673784052,-0.0461935553815311,-0.0469134804874924,-0.0181931006898991,-0.0187144492641408,-0.00421106395760118,-0.00414198649304443,-0.00408287659566209,-0.00415493505422637,0.0234417165531821,-0.0002537528659579,0.0297553446440933,0.00224521880427598,-0.00223396115560739,-0.000470303789874935,-0.000719925105961305,-0.000521348574241687,6.90774645567549e-05,-7.20584585642836e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,4,0.465072919886463,0.841270229443267,-0.0349270801135368,-0.00872977055673296,-1.05756159722707e-06,-0.00178588154784254,-0.0241080978111018,0.000116096202385507,-0.000354520292727388,-0.000324677236177223,-0.00152353995542191,-0.00164769238688514,-0.00978695093210973,-0.0105578932306943,-0.0548256674291023,-0.0562985367059992,-0.00958391569931916,-0.0103864145044242,-0.00126966178878729,-0.00119727506896583,-0.000564455078639559,-0.000634082198002317,0.0261973095568038,-0.00178482398624531,0.0242241940134873,2.9843056550165e-05,-0.000124152431463229,-0.000770942298584557,-0.00147286927689683,-0.000802498805105079,7.23867198214601e-05,-6.96271193627584e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,5,0.458601353149956,0.835409580002245,-0.0413986468500441,-0.0145904199977552,-1.17084923802758e-06,-0.00281970629756525,-0.0317267804128925,-0.0126420026183903,-0.00101182315601708,-0.00185882932977377,0.000329816613023018,0.000999878716393884,-0.00484743677618303,-0.00589500297892641,-0.0583024625195576,-0.0607860762672758,-0.00348034266785691,-0.00452319737896878,-0.000103354308803261,-2.66795764899408e-05,0.0010220841197317,0.000964329811426801,0.0268082268522888,-0.00281853544832722,0.0190847777945022,-0.000847006173756692,0.000670062103370866,-0.00104756620274338,-0.00248361374771822,-0.00104285471111187,7.66747323133199e-05,-5.77543083049026e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,6,0.455707816569092,0.831792585621501,-0.0442921834309085,-0.0182074143784986,-1.2158670001029e-06,-0.0033976902447577,-0.0353982299528514,-0.0201223591999112,-0.00108260641351868,-0.00199177950934765,0.00106520677305462,0.00174526625561991,-0.00124962249163715,-0.00251002125113692,-0.0580945234482053,-0.0617764456117311,-8.87919796883629e-05,-0.00129812830420473,2.7190902313512e-05,0.000110404719847801,0.00138098318662094,0.0013418083276886,0.0260847690524099,-0.0033964743777576,0.0152758707529402,-0.000909173095828975,0.00068005948256529,-0.00126039875949976,-0.00368192216352581,-0.00120933632451636,8.32138175342889e-05,-3.91748589323448e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,7,0.455394793022475,0.830084074014238,-0.0446052069775253,-0.0199159259857621,-1.2205446878747e-06,-0.00365573916434871,-0.0361801519977632,-0.0233733196228613,-0.000884975532326208,-0.00150247605968999,0.00112795877640241,0.00149161734359966,0.000877539939108607,-0.000518396312004482,-0.0557646204228917,-0.0607504307834423,0.00123996603935739,-5.71815368588524e-05,-0.000281835513523121,-0.000191680434370012,0.00114322647297915,0.00112497359890384,0.0246892809917633,-0.00365451861966083,0.0128068323749019,-0.000617500527363786,0.00036365856719725,-0.00139593625111309,-0.00498581036055068,-0.00129714757621624,9.01550791531092e-05,-1.82528740753085e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,8,0.456604902247408,0.829657592336051,-0.043395097752592,-0.0203424076639489,-1.20225677408037e-06,-0.00371870525539546,-0.035254692832274,-0.0239590793794824,-0.000630257026606609,-0.00089900545047506,0.000894123789886708,0.000904101402963389,0.00186221116983307,0.000402358252155469,-0.0525082937424859,-0.0588293117617011,0.00134653657550099,2.68350689542896e-05,-0.000662128355602754,-0.000567271628563737,0.000735447886984764,0.000736573285122111,0.0230526900886431,-0.00371750299862138,0.0112956134527916,-0.00026874842386845,9.97761307668099e-06,-0.0014598529176776,-0.00632101801921525,-0.0013197015065467,9.48567270390166e-05,1.12539813734713e-06
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,9,0.458527315542611,0.829928567104443,-0.0414726844573892,-0.0200714328955566,-1.17204217801284e-06,-0.00367876463476666,-0.0335464249321606,-0.0232366505709507,-0.000423242741293579,-0.000426797763526542,0.000603661451021878,0.000355243844184075,0.00214159208718383,0.000674037689351481,-0.0490539943117394,-0.0566845412783072,0.000920693415623175,-0.000376799894409974,-0.000944358127388911,-0.000848957230403014,0.000380234717918704,0.000396793164155085,0.0214012515618326,-0.00367759259258864,0.0103097743612099,-3.555022232963e-06,-0.000248417606837803,-0.00146755439783235,-0.00763054696656784,-0.00129749331003315,9.54008969858977e-05,1.6558446236381e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,10,0.46066378696624,0.830486472726455,-0.0393362130337598,-0.0195135272735448,-1.13671483459105e-06,-0.00359580213136646,-0.0316277115154183,-0.0221037798586482,-0.000293680799474198,-0.000149753195560215,0.000371447898342078,-1.22897111711207e-05,0.00208062503724539,0.000644069844136883,-0.0457470194167002,-0.0546233579022126,0.000396852721026297,-0.000853311051404515,-0.00108960020379045,-0.000998483823313245,0.000153035986284911,0.000180252493409139,0.019822685760215,-0.00359466541653187,0.00952393165677012,0.000143927603913983,-0.000383737609513199,-0.00143655519310851,-0.00887633848551239,-0.00125016377243081,9.11163804772075e-05,2.72165071242281e-05
