scenario,label,output_ratio,s1,s2,metric,developed_var,less_developed_var,diff_t1,diff_t4,diff_t8,diff_t12
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,ds1,ds2,0.00262653084574858,0.000596439497779082,-0.000297078519808334,-4.33523285044207e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,fs1,fs2,-0.00264981769564641,-0.000641780812879911,0.000241600630440472,-4.25150613335284e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,ig1,ig2,-0.000280635948540539,-0.00047048718655307,-0.000523489088401483,-0.000763852901473433
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,kg1,kg2,-0.000280635948540553,-0.00159903581355625,-0.0032836870737798,-0.00559975632896093
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Private investment,inv1,inv2,-1.8614796791272e-05,3.53529276786446e-06,8.97812706872059e-05,0.000185205053088167
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Final output,y1,y2,-0.000303722091172798,-0.000450326902784459,-0.000410698562761547,-0.00056542016398653
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Consumption,c1,c2,-4.47134584091735e-06,1.66249910008576e-05,2.30092549527994e-05,1.32276843987089e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Inflation,pinf1,pinf2,-6.21885248212051e-05,-8.83701622211852e-06,1.04830155500668e-06,4.81182771316924e-06
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Debt service pressure,ds1,ds2,0.0026559383581693,0.000598729666192092,-0.00030063162037275,-4.44239330167264e-05
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Fiscal space,fs1,fs2,-0.00267956335125441,-0.000644410821592847,0.000244779857688227,-4.19585827659552e-05
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Public investment,ig1,ig2,-0.000283746746394961,-0.000474308333969539,-0.000527808637822161,-0.000769588509821298
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Public capital,kg1,kg2,-0.000283746746394975,-0.00161349368770036,-0.00331182462894919,-0.00564572916882877
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Private investment,inv1,inv2,-1.86148531544084e-05,3.97542721647381e-06,9.09673587263793e-05,0.000186945235353175
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Final output,y1,y2,-0.000306924713008194,-0.000453574758693454,-0.000413677498925624,-0.000569347202973303
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Consumption,c1,c2,-4.56311345875537e-06,1.67581480596812e-05,2.31637801701989e-05,1.3296071494806e-05
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Inflation,pinf1,pinf2,-6.27241331595529e-05,-8.85926111815483e-06,1.0593376887913e-06,4.87669907300869e-06
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Debt service pressure,ds1,ds2,0.00267577069209885,0.000600279829295019,-0.000303032730754163,-4.51463468024121e-05
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Fiscal space,fs1,fs2,-0.0026996236317841,-0.000646190360674981,0.000246928796775528,-4.15837804014635e-05
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Public investment,ig1,ig2,-0.000285844692066564,-0.000476887179654745,-0.000530722183646373,-0.000773457496826502
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Public capital,kg1,kg2,-0.000285844692066384,-0.00162324843958706,-0.00333080812168651,-0.00567674254253125
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Private investment,inv1,inv2,-1.86150770558613e-05,4.27180417489348e-06,9.17665104731569e-05,0.000188117893097084
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Final output,y1,y2,-0.000309084719790298,-0.000455767398970464,-0.000415687601883041,-0.00057199738639635
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Consumption,c1,c2,-4.62495066788637e-06,1.68479765093599e-05,2.32680712902722e-05,1.33422173330677e-05
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Inflation,pinf1,pinf2,-6.30855231692484e-05,-8.87433081042666e-06,1.06684290013259e-06,4.92044450672857e-06
