scenario,label,output_ratio,s1,s2,metric,horizon,developed_irf,less_developed_irf,diff_irf
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,1,0.00636479718118129,0.0162425606315035,0.00987776345032219
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,2,0.00409345105072864,0.0104618935930849,0.00636844254235622
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,3,0.00221313006560971,0.00571770931220996,0.00350457924660026
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,4,0.000790762226324953,0.00220086080066263,0.00141009857433768
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,5,-0.000186000987859439,-0.000137019407125249,4.89815807341899e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,6,-0.000776837409624869,-0.00147703442757381,-0.000700197017948944
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,7,-0.00106450956309194,-0.0020575427386367,-0.000993033175544767
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,8,-0.00113651456210569,-0.00212117418267736,-0.000984659620571665
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,9,-0.00107255426004165,-0.00188132234785704,-0.000808768087815393
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,10,-0.000937458604800922,-0.0015051409233879,-0.000567682318586982
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,11,-0.000778625804765555,-0.00110923787282621,-0.000330612068060651
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,12,-0.000626716367662015,-0.00076392033279438,-0.000137203965132365
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,13,-0.000498311758169651,-0.000502161002816335,-3.84924464668377e-06
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,14,-0.000399434003514358,-0.000330216888305437,6.92171152089209e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,15,-0.000329110558156823,-0.000237763143059733,9.13474150970903e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,16,-0.000282472063205192,-0.000206298990273248,7.6173072931944e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,17,-0.000253134558351452,-0.00021531551181124,3.78190465402119e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,18,-0.000234816336011797,-0.000246237460494068,-1.14211244822706e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,19,-0.000222268175603047,-0.00028446690438101,-6.21987287779627e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,20,-0.000211662379203698,-0.000319999776968815,-0.000108337397765117
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,21,-0.00020060534145274,-0.000347104255407134,-0.000146498913954394
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,22,-0.000187926229462921,-0.000363489483860092,-0.000175563254397171
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,23,-0.000173365000387009,-0.000369294540191837,-0.000195929539804828
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,24,-0.000157247578647373,-0.000366120427570548,-0.000208872848923175
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,25,-0.000140202131097313,-0.000356231341548292,-0.000216029210450979
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,26,-0.000122942339268745,-0.000341975395224046,-0.000219033055955301
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,27,-0.000106123106693199,-0.000325422285627255,-0.000219299178934056
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,28,-9.02611843899706e-05,-0.000308184359584122,-0.000217923175194152
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,29,-7.57066084644334e-05,-0.00029137399337888,-0.000215667384914447
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,30,-6.26490085028708e-05,-0.00027564906754303,-0.000213000059040159
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,31,-5.11441071919302e-05,-0.000261304748519521,-0.000210160641327591
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,32,-4.11486494761477e-05,-0.000248379780579108,-0.000207231131102961
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,33,-3.25554728339778e-05,-0.000236756134730046,-0.000204200661896068
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,34,-2.52237222774345e-05,-0.000226240326382889,-0.000201016604105454
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,35,-1.90019128461167e-05,-0.000216622082799931,-0.000197620169953815
