scenario,label,output_ratio,s1,s2,metric,variable,t1,t4,t8,t12
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Policy rate,r,-7.30670869262262e-05,-0.001011178853499,-0.000301026630669776,0.000242200425824235
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Debt service pressure,ds2,0.0162425606315035,0.00220086080066263,-0.00212117418267736,-0.00076392033279438
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,fs2,-0.0205438907611732,-0.00471564235654631,0.00172214970519528,0.000723574323214557
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,ig2,-0.00694081602022116,-0.0152324077691943,-0.00537550089295871,0.00106579756280444
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,kg2,-0.00694081602022134,-0.0478832405203176,-0.0799674102783041,-0.0747237318680742
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Final output,y2,-0.0226506214275159,-0.0132427326613025,-0.00210124591865579,-0.000212460369595768
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Consumption,c2,-0.0148335559106701,-0.00076112321767241,0.000298902504995757,-0.00105125070889811
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Inflation,pinf2,-0.0158536288109132,-0.00280505349249449,0.00124161655864485,0.000449773415921673
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Policy rate,r,-8.17904246666057e-05,-0.00102774102106928,-0.000315181676294074,0.000235913487314443
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Debt service pressure,ds2,0.0163386215541056,0.00221228732143883,-0.00213385757595201,-0.000768678651643989
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Fiscal space,fs2,-0.0206631154444061,-0.0047407206961604,0.00173208019211436,0.000726774125168389
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Public investment,ig2,-0.00698152379791638,-0.015317711458266,-0.00540458386445226,0.00107317910823451
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Public capital,kg2,-0.00698152379791628,-0.0481551412414647,-0.0804159229635277,-0.0751374483799276
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Final output,y2,-0.0227726008053056,-0.0133146225583733,-0.00211574260637815,-0.000220667453248669
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Consumption,c2,-0.014910471956624,-0.000762474595737528,0.000300631530535611,-0.00106030230740695
scale_development_y150,Y1/Y2 = 1.5,1.5,0.6,0.4,Inflation,pinf2,-0.0159475093305115,-0.00283032908594438,0.00123686726660499,0.000443690054671153
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Policy rate,r,-8.76566682641577e-05,-0.00103888021190013,-0.000324701366000379,0.000231687416855086
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Debt service pressure,ds2,0.0164032456359183,0.00221997508603824,-0.00214239051644568,-0.000771879892215402
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Fiscal space,fs2,-0.0207433233597596,-0.00475759290168944,0.00173876113042025,0.000728926987314624
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Public investment,ig2,-0.0070089096670581,-0.0153751002515501,-0.00542414981328744,0.00107814522576459
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Public capital,kg2,-0.00700890966705803,-0.0483380633425026,-0.080717663080295,-0.0754157789761973
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Final output,y2,-0.0228546646095901,-0.013362987433483,-0.0021254951710914,-0.000226188169424213
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Consumption,c2,-0.0149622195003462,-0.000763384219428009,0.000301794433121172,-0.00106639222809912
scale_development_y200,Y1/Y2 = 2.0,2,0.66666667,0.33333333,Inflation,pinf2,-0.0160106665334632,-0.00284733064671383,0.00123367538485653,0.000439600856639633
